Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle
t517,0.0,0.0,0.0
t518,0.0,0.0,0.0
t519,0.0,0.0,0.0
t520,0.0,0.0,0.0
t521,868.3943342131732,0.0,0.0
t522,1148.2765645478196,0.0,0.0
t523,1177.9965645478155,0.0,0.0
t524,551.3023922083777,0.0,0.0
t525,551.3023922083777,0.0,0.0
t526,551.3023922083777,0.0,0.0
t527,0.0,0.0,0.0
t528,0.0,0.0,0.0
t529,0.0,0.0,0.0
t530,0.0,0.0,0.0
t531,0.0,0.0,0.0
t532,0.0,0.0,0.0
t533,0.0,0.0,0.0
t534,0.0,0.0,0.0
t535,0.0,0.0,0.0
t536,0.0,0.0,0.0
t537,0.0,0.0,0.0
t538,0.0,0.0,0.0
t539,0.0,0.0,0.0
t540,0.0,0.0,0.0
t541,-3.6938137405232675e-13,0.0,0.0
t542,-2.345027220113986e-13,0.0,0.0
t543,9.8168886986818e-13,0.0,0.0
t544,5.375996600181173e-13,0.0,0.0
t545,2724.0672724716715,0.0,0.0
t546,5102.242397318152,0.0,0.0
t547,4060.8365645478198,0.0,0.0
t548,2248.195512208377,0.0,0.0
t549,2248.195512208377,0.0,0.0
t550,2248.195512208377,0.0,0.0
t551,518.8143489711639,0.0,0.0
t552,0.0,0.0,0.0
t553,0.0,0.0,0.0
t554,0.0,0.0,0.0
t555,0.0,0.0,0.0
t556,0.0,0.0,0.0
t557,0.0,0.0,0.0
t558,0.0,0.0,0.0
t559,0.0,0.0,0.0
t560,0.0,0.0,0.0
t561,0.0,0.0,0.0
t562,0.0,0.0,0.0
t563,0.0,0.0,0.0
t564,0.0,0.0,0.0
t565,0.0,0.0,0.0
t566,0.0,0.0,0.0
t567,0.0,0.0,0.0
t568,0.0,0.0,0.0
t569,0.0,0.0,0.0
t570,0.0,0.0,0.0
t571,0.0,0.0,0.0
t572,0.0,0.0,0.0
t573,0.0,0.0,0.0
t574,0.0,0.0,0.0
t575,0.0,0.0,0.0
t576,0.0,0.0,0.0
t577,0.0,0.0,0.0
t578,0.0,0.0,0.0
t579,0.0,0.0,0.0
t580,0.0,0.0,0.0
t581,0.0,0.0,0.0
t582,0.0,0.0,0.0
t583,0.0,0.0,0.0
t584,0.0,0.0,0.0
t585,0.0,0.0,0.0
t586,0.0,0.0,0.0
t587,0.0,0.0,0.0
t588,0.0,0.0,0.0
t589,0.0,0.0,0.0
t590,0.0,0.0,0.0
t591,1.520239489849473e-13,0.0,0.0
t592,-5.551115123125783e-14,0.0,0.0
t593,343.1063630699616,0.0,0.0
t594,1899.8641067198625,0.0,0.0
t595,1987.8665645478154,0.0,0.0
t596,930.3215522083777,0.0,0.0
t597,930.3215522083777,0.0,0.0
t598,930.3215522083777,0.0,0.0
t599,712.4995889711645,0.0,0.0
t600,0.0,0.0,0.0
t601,0.0,0.0,0.0
t602,0.0,0.0,0.0
t603,0.0,0.0,0.0
t604,0.0,0.0,0.0
t605,0.0,0.0,0.0
t606,0.0,0.0,0.0
t607,336.1719910278841,0.0,0.0
t608,629.6580861811904,0.0,0.0
t609,277.4455569422446,0.0,0.0
t610,277.4455569422446,0.0,0.0
t611,277.4455569422446,0.0,0.0
t612,277.4455569422446,0.0,0.0
t613,277.4455569422446,0.0,0.0
t614,277.4455569422446,0.0,0.0
t615,277.4455569422446,0.0,0.0
t616,277.4455569422446,0.0,0.0
t617,1415.380262819168,0.0,0.0
t618,2136.466564547815,0.0,0.0
t619,1913.5665645478196,0.0,0.0
t620,722.4207952661328,0.0,0.0
t621,722.4207952661328,0.0,0.0
t622,722.4207952661328,0.0,0.0
t623,0.0,0.0,0.0
t624,0.0,0.0,0.0
t625,0.0,0.0,0.0
t626,0.0,0.0,0.0
t627,0.0,0.0,0.0
t628,0.0,0.0,0.0
t629,0.0,0.0,0.0
t630,0.0,0.0,0.0
t631,0.0,0.0,0.0
t632,0.0,0.0,0.0
t633,0.0,0.0,0.0
t634,0.0,0.0,0.0
t635,0.0,0.0,0.0
t636,0.0,0.0,0.0
t637,0.0,0.0,0.0
t638,0.0,0.0,0.0
t639,0.0,0.0,0.0
t640,0.0,0.0,0.0
t641,0.0,0.0,0.0
t642,0.0,0.0,0.0
t643,0.0,0.0,0.0
t644,0.0,0.0,0.0
t645,0.0,0.0,0.0
t646,0.0,0.0,0.0
t647,0.0,0.0,0.0
t648,0.0,0.0,0.0
t649,0.0,0.0,0.0
t650,0.0,0.0,0.0
t651,0.0,0.0,0.0
t652,0.0,0.0,0.0
t653,0.0,0.0,0.0
t654,0.0,0.0,0.0
t655,0.0,0.0,0.0
t656,0.0,0.0,0.0
t657,0.0,0.0,0.0
t658,0.0,0.0,0.0
t659,0.0,0.0,0.0
t660,0.0,0.0,0.0
t661,0.0,0.0,0.0
t662,0.0,0.0,0.0
t663,0.0,0.0,0.0
t664,0.0,0.0,0.0
t665,0.0,0.0,0.0
t666,0.0,0.0,0.0
t667,0.0,0.0,0.0
t668,0.0,0.0,0.0
t669,0.0,0.0,0.0
t670,0.0,0.0,0.0
t671,0.0,0.0,0.0
t672,0.0,0.0,0.0
t673,0.0,0.0,0.0
t674,0.0,0.0,0.0
t675,0.0,0.0,0.0
t676,0.0,0.0,0.0
t677,0.0,0.0,0.0
t678,0.0,0.0,0.0
t679,0.0,0.0,0.0
t680,0.0,0.0,0.0
t681,0.0,0.0,0.0
t682,0.0,0.0,0.0
t683,0.0,0.0,0.0
t684,0.0,0.0,0.0
t685,0.0,0.0,0.0
t686,0.0,0.0,0.0
t687,0.0,0.0,0.0
t688,0.0,0.0,0.0
t689,0.0,0.0,0.0
t690,2111.7278142131736,0.0,0.0
t691,2864.606564547815,0.0,0.0
t692,1363.7465645478196,0.0,0.0
t693,1340.6358722083778,0.0,0.0
t694,1340.6358722083778,0.0,0.0
t695,1340.6358722083778,0.0,0.0
t696,0.0,0.0,0.0
t697,0.0,0.0,0.0
t698,0.0,0.0,0.0
t699,0.0,0.0,0.0
t700,0.0,0.0,0.0
t701,0.0,0.0,0.0
t702,0.0,0.0,0.0
t703,0.0,0.0,0.0
t704,0.0,0.0,0.0
t705,0.0,0.0,0.0
t706,0.0,0.0,0.0
t707,0.0,0.0,0.0
t708,0.0,0.0,0.0
t709,0.0,0.0,0.0
t710,0.0,0.0,0.0
t711,0.0,0.0,0.0
t712,0.0,0.0,0.0
t713,0.0,0.0,0.0
t714,2144.591254213173,0.0,0.0
t715,2909.1865645478156,0.0,0.0
t716,1361.4993122083777,0.0,0.0
t717,1361.4993122083777,0.0,0.0
t718,1361.4993122083777,0.0,0.0
t719,1361.4993122083777,0.0,0.0
t720,0.0,0.0,0.0
t721,0.0,0.0,0.0
t722,0.0,0.0,0.0
t723,0.0,0.0,0.0
t724,0.0,0.0,0.0
t725,0.0,0.0,0.0
t726,0.0,0.0,0.0
t727,0.0,0.0,0.0
t728,0.0,0.0,0.0
t729,0.0,0.0,0.0
t730,0.0,0.0,0.0
t731,0.0,0.0,0.0
t732,0.0,0.0,0.0
t733,0.0,0.0,0.0
t734,0.0,0.0,0.0
t735,0.0,0.0,0.0
t736,0.0,0.0,0.0
t737,0.0,0.0,0.0
t738,632.8730142131732,0.0,0.0
t739,858.5065645478154,0.0,0.0
t740,401.7810722083776,0.0,0.0
t741,401.7810722083776,0.0,0.0
t742,401.7810722083776,0.0,0.0
t743,401.7810722083776,0.0,0.0
t744,0.0,0.0,0.0
t745,0.0,0.0,0.0
t746,0.0,0.0,0.0
t747,0.0,0.0,0.0
t748,0.0,0.0,0.0
t749,0.0,0.0,0.0
t750,0.0,0.0,0.0
t751,0.0,0.0,0.0
t752,0.0,0.0,0.0
t753,0.0,0.0,0.0
t754,0.0,0.0,0.0
t755,0.0,0.0,0.0
t756,0.0,0.0,0.0
t757,0.0,0.0,0.0
t758,0.0,0.0,0.0
t759,0.0,0.0,0.0
t760,0.0,0.0,0.0
t761,0.0,1073.2839305919292,0.0
t762,0.0,1674.6540992756256,0.0
t763,0.0,602.8754757392253,0.0
t764,0.0,566.0330855551614,0.0
t765,0.0,566.0330855551614,0.0
t766,0.0,566.0330855551614,0.0
t767,0.0,0.0,0.0
t768,0.0,0.0,0.0
t769,0.0,0.0,0.0
t770,0.0,0.0,0.0
t771,0.0,0.0,0.0
t772,0.0,0.0,0.0
t773,0.0,0.0,0.0
t774,0.0,0.0,0.0
t775,0.0,0.0,0.0
t776,0.0,0.0,0.0
t777,0.0,0.0,0.0
t778,0.0,0.0,0.0
t779,0.0,0.0,0.0
t780,0.0,0.0,0.0
t781,0.0,0.0,0.0
t782,0.0,0.0,0.0
t783,0.0,0.0,0.0
t784,0.0,0.0,0.0
t785,0.0,0.0,0.0
t786,183.73933421317324,0.0,0.0
t787,249.24656454781552,0.0,0.0
t788,116.64739220837767,0.0,0.0
t789,116.64739220837767,0.0,0.0
t790,116.64739220837767,0.0,0.0
t791,116.64739220837767,0.0,0.0
t792,0.0,0.0,0.0
t793,0.0,0.0,0.0
t794,0.0,0.0,0.0
t795,0.0,0.0,0.0
t796,0.0,0.0,0.0
t797,0.0,0.0,0.0
t798,0.0,0.0,0.0
t799,0.0,0.0,0.0
