Zone,1,2,3,Total
t43,225.6815785184145,0.0,0.0,225.6815785184145
t44,124.26055662782426,0.0,0.0,124.26055662782426
t45,124.26055662782423,0.0,0.0,124.26055662782423
t46,124.26055662782423,0.0,0.0,124.26055662782423
t47,28.67551306795943,0.0,0.0,28.67551306795943
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,-4.033195366570653e-14,0.0,0.0,-4.033195366570653e-14
t85,-2.5604845244053822e-14,0.0,0.0,-2.5604845244053822e-14
t86,-2.5604845244053822e-14,0.0,0.0,-2.5604845244053822e-14
t87,-2.5604845244053822e-14,0.0,0.0,-2.5604845244053822e-14
t88,-6.593679890976034e-14,0.0,0.0,-6.593679890976034e-14
t89,22.918619865365283,0.0,0.0,22.918619865365283
t90,110.32690259744552,0.0,0.0,110.32690259744552
t91,114.54909499584154,0.0,0.0,114.54909499584154
t92,53.60897645805386,0.0,0.0,53.60897645805386
t93,53.60897645805388,0.0,0.0,53.60897645805388
t94,53.60897645805388,0.0,0.0,53.60897645805388
t95,39.059031277517164,0.0,0.0,39.059031277517164
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0
t103,49.11803526045635,0.0,0.0,49.11803526045635
t104,91.99924117566908,0.0,0.0,91.99924117566908
t105,40.5375254704541,0.0,0.0,40.5375254704541
t106,40.5375254704541,0.0,0.0,40.5375254704541
t107,40.5375254704541,0.0,0.0,40.5375254704541
t108,40.5375254704541,0.0,0.0,40.5375254704541
t109,40.5375254704541,0.0,0.0,40.5375254704541
t110,40.5375254704541,0.0,0.0,40.5375254704541
t111,40.5375254704541,0.0,0.0,40.5375254704541
t112,40.5375254704541,0.0,0.0,40.5375254704541
t113,46.15785977002539,0.0,0.0,46.15785977002539
t114,130.12603253416503,0.0,0.0,130.12603253416503
t115,110.56585185883173,0.0,0.0,110.56585185883173
t116,32.155879846120946,0.0,0.0,32.155879846120946
t117,16.799766563840663,0.0,0.0,16.799766563840663
t118,16.799766563840663,0.0,0.0,16.799766563840663
t119,13.23168277714494,0.0,0.0,13.23168277714494
t120,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0
