Resource,MA_battery,CT_battery,ME_battery,Total
t39,26273.6298774799,164892.9457275016,242620.77316199604,433787.34876697755
t40,25434.608062183303,167142.08353815685,247772.15243052068,440348.8440308608
t41,22955.132959473023,164656.76243841893,247772.15243052068,435384.0478284126
t42,19807.476727336554,164855.4000787518,252923.53169904533,437586.4085051337
t43,16659.820495200085,165817.9451946143,252923.53169904533,435401.2973888597
t44,13647.664632133126,167539.97237726298,252923.53169904533,434111.16870844143
t45,11232.945375625572,169835.7518572266,252923.53169904533,433992.2289318975
t46,9696.809364058317,171909.09942829772,252923.53169904533,434529.44049140136
t47,8998.657390719109,173796.90701230854,252923.53169904533,435719.096102073
t48,9185.776394052258,176936.08728807245,252923.53169904533,439045.39538117003
t49,9910.170137664281,180449.9817660214,252923.53169904533,443283.683602731
t50,10974.775914048047,184101.73931099637,252923.53169904533,448000.0469240898
t51,12205.769542525097,187835.76455303593,252923.53169904533,452965.06579460634
t52,13479.522060366902,190117.28756404296,252923.53169904533,456520.3413234552
t53,14564.577740359899,189259.6935827557,258074.91096756997,461899.1822906856
t54,15022.193195978778,186809.3241188899,258074.91096756997,459906.42828243866
t55,14087.932556071733,184208.72466154097,258074.91096756997,456371.56818518264
t56,12339.884185538736,182138.99278865496,263226.2902360946,457705.16721028835
t57,11828.840966606955,184421.16467950688,263226.2902360946,459476.29588220845
t58,14274.764281288042,187572.9555306876,263226.2902360946,465074.0100480703
t59,16938.94051616835,193550.53806546054,263226.2902360946,473715.7688177235
t60,19603.116751048656,199528.12060023347,263226.2902360946,482357.52758737677
t61,22267.29298592896,205505.7031350064,263226.2902360946,490999.28635703
t62,24931.469220809267,211483.28566977932,263226.2902360946,499641.0451266832
t63,27595.645455689573,217460.86820455224,263226.2902360946,508282.80389633647
t64,30259.82169056988,218970.25658418195,263226.2902360946,512456.36851084646
t65,30309.858125575338,223641.73607265344,267745.6347318345,521697.2289300633
t66,27349.364877024724,222804.02275310043,267745.6347318345,517899.0223619597
t67,24377.88933791236,222308.40201600714,267745.6347318345,514431.926085754
t68,21698.542727742642,220077.60759971794,267745.6347318345,509521.7850592951
t69,19494.729298896862,217052.9289753175,267745.6347318345,504293.2930060489
t70,18078.34610332883,217893.9331964642,267745.6347318345,503717.9140316276
t71,17645.976142093932,219627.19014220472,267745.6347318345,505018.80101613316
t72,18058.973626201765,222185.0078831106,267745.6347318345,507989.6162411469
t73,18972.993748735742,225044.61660785374,267745.6347318345,511763.245088424
t74,20138.919502092514,226365.63248934274,267745.6347318345,514250.18672326976
t75,21417.319725300054,228193.44781119903,267745.6347318345,517356.4022683336
t76,22690.14270206871,231731.61218599605,272897.01400035917,527318.7688884239
t77,23750.100773086742,235245.15139537884,278048.3932688838,537043.6454373493
t78,24121.268908902966,236499.40813434124,278048.3932688838,538669.070312128
t79,23018.97922340109,239296.72977648798,278048.3932688838,540364.1022687729
t80,21056.776186913892,240080.543630048,278048.3932688838,539185.7130858457
t81,21760.639575026988,243258.40897942387,278048.3932688838,543067.4418233347
t82,24424.815809907293,247249.47468167348,278048.3932688838,549722.6837604647
t83,27088.9920447876,253227.0572164464,278048.3932688838,558364.4425301178
t84,29753.168279667905,259204.63975121934,278048.3932688838,567006.201299771
t85,32417.34451454821,265182.22228599223,278048.3932688838,575647.9600694242
t86,35081.52074942852,271159.80482076516,278048.3932688838,584289.7188390775
t87,37745.69698430883,277137.3873555381,283199.77253740845,598082.8568772554
t88,40075.041371870895,280537.74626003765,283199.77253740845,603812.5601693171
t89,40223.06942886502,279983.87191679206,283199.77253740845,603406.7138830656
