Zone,1,2,3
t112,136.29206065685125,134.62512926700077,0.44536862003780714
t113,136.29206065685125,134.62512926700077,0.44536862003780714
t114,136.29206065685122,134.62512926700077,0.44536862003780714
t115,136.29206065685122,134.62512926700077,0.44536862003780714
t116,136.29206065685122,134.62512926700077,0.44536862003780714
t117,136.29206065685122,134.62512926700077,0.1
t118,136.29206065685122,134.62512926700077,0.1
t119,136.29206065685125,134.62512926700077,0.1
t120,136.29206065685125,134.62512926700077,0.1
t121,115.0806401399589,113.66974941158946,0.1
t122,115.0806401399589,113.66974941158946,0.1
t123,115.0806401399589,113.66974941158946,0.1
t124,115.0806401399589,113.66974941158946,0.1
t125,115.0806401399589,113.67313679391758,0.1
t126,115.0806401399589,113.66974941158946,0.1
t127,136.29206065685122,113.66974941158946,0.10000000000000003
t128,136.29206065685122,134.62512926700077,0.1
t129,136.29206065685122,134.62512926700077,0.1
t130,136.29206065685125,134.62512926700077,0.1
t131,136.29206065685122,134.62512926700077,0.1
t132,136.29206065685122,134.62512926700077,0.1
t133,136.29206065685122,134.62512926700077,0.1
t134,136.29206065685125,134.62512926700077,0.1
t135,136.29206065685122,134.62512926700077,0.1
t136,136.29206065685125,134.62512926700077,0.1
t137,136.29206065685122,134.62512926700077,0.1
t138,136.29206065685122,134.62512926700077,0.10000000000000003
t139,136.29206065685122,0.4374964249508477,0.1
t140,136.29206065685122,0.4374964249508477,0.10000000000000003
t141,136.29206065685122,0.4374964249508477,0.1
t142,136.29206065685122,0.4374964249508477,0.1
t143,136.29206065685122,0.4374964249508477,0.1
t144,0.44634284053399575,0.4374964249508477,0.1
t145,0.44634284053399575,0.4374964249508477,0.1
t146,0.44634284053399575,0.4374964249508477,0.1
t147,0.44634284053399575,0.4374964249508477,0.1
t148,0.44634284053399575,0.4374964249508477,0.1
t149,0.44634284053399575,0.4374964249508477,0.1
t150,0.44634284053399575,0.4374964249508477,0.1
t151,0.8545638475118097,0.844112033259508,0.1
t152,0.8545638475118097,0.844112033259508,0.1
t153,0.44634284053399575,0.4374964249508477,0.1
t154,0.44634284053399575,0.44088380727897436,0.1
t155,0.4429135155614094,0.4374964249508477,0.1
t156,0.4429135155614094,0.4374964249508477,0.1
t157,0.4429135155614094,0.4374964249508477,0.1
t158,0.10198489006280309,0.10073755537788583,0.1
t159,0.10198489006280309,0.10073755537788583,0.1
t160,0.44634284053399575,0.1,0.4376558529985516
t161,0.44634284053399575,0.4374964249508477,0.4376558529985516
t162,0.8545638475118097,0.4374964249508477,0.1
t163,0.8545638475118097,0.4374964249508477,0.1
t164,0.8545638475118097,0.844112033259508,0.1
t165,0.8545638475118097,0.4374964249508477,0.1
t166,0.8545638475118097,0.4374964249508477,0.1
t167,0.44634284053399575,0.4374964249508477,0.1
t168,0.44634284053399575,0.4374964249508477,0.1
t169,0.8545638475118097,0.844112033259508,0.1
t170,0.44634284053399575,0.44088380727897436,0.10000000000000003
t171,0.44634284053399575,0.4374964249508477,0.1
t172,0.8545638475118097,0.844112033259508,0.1
t173,0.8545638475118097,0.844112033259508,0.10000000000000003
t174,0.8545638475118097,0.844112033259508,0.1
t175,0.8545638475118097,0.844112033259508,0.1
t176,0.8545638475118097,0.844112033259508,0.10000000000000003
t177,0.44634284053399575,0.4374964249508477,0.1
t178,0.44634284053399575,0.4374964249508477,0.4376558529985516
t179,0.44634284053399575,0.44088380727897436,0.4376558529985516
t180,0.44634284053399575,0.4374964249508477,0.44536862003780714
t181,0.44634284053399575,0.4374964249508477,0.44536862003780714
t182,0.44634284053399575,0.44088380727897436,0.44536862003780714
t183,0.4542086975197808,0.4486534602463119,0.44536862003780714
t184,0.4542086975197808,0.4486534602463119,0.44536862003780714
t185,0.8545638475118097,0.844112033259508,0.44536862003780714
t186,0.8545638475118097,0.844112033259508,0.1
t187,0.8545638475118097,0.4374964249508477,0.1
t188,0.8545638475118097,0.844112033259508,0.1
