Zone,1,2,3
t43,6977.615953116166,6892.275640536585,0.1
t44,6977.615953116166,5833.345142150166,0.1
t45,6977.615953116166,5833.345142150166,0.1
t46,6977.615953116166,5833.345142150166,0.1
t47,5905.577182717523,5833.345142150166,0.1
t48,5905.577182717523,5833.345142150166,0.1
t49,5905.577182717523,5833.345142150166,0.1
t50,5905.577182717523,5833.345142150166,0.1
t51,5905.577182717523,5833.345142150166,0.1
t52,5905.577182717523,5833.345142150166,0.1
t53,5905.577182717522,5833.348529532494,0.1
t54,6977.615953116166,6892.275640536585,0.1
t55,6977.615953116166,6892.275640536585,0.1
t56,6977.615953116166,6892.275640536585,0.1
t57,5905.577182717523,5833.345142150166,0.1
t58,5905.57375339255,5833.345142150166,0.1
t59,0.10198489006280308,0.1,0.1
t60,0.10123820225757738,0.1,0.1
t61,0.10123820225757738,0.1,0.1
t62,0.10198489006280308,0.1007375553778858,0.1
t63,0.10198489006280308,0.1,0.1
t64,5905.57375339255,5833.345142150166,0.1
t65,5905.577182717523,5833.345142150166,0.1
t66,6977.615953116166,6892.275640536585,0.1
t67,6977.615953116166,6892.275640536585,0.1
t68,6977.615953116166,6892.275640536585,0.1
t69,6977.615953116166,6892.275640536585,0.1
t70,6977.615953116166,6892.275640536585,0.1
t71,5905.577182717523,5833.345142150166,0.1
t72,5905.577182717523,5833.345142150166,0.1
t73,5905.577182717523,5833.345142150166,0.1
t74,5905.577182717523,5833.345142150166,0.1
t75,5905.577182717523,5833.345142150166,0.1
t76,5905.577182717523,5833.345142150166,0.1
t77,5905.577182717523,5833.345142150166,0.1
t78,5905.577182717523,5833.345142150166,0.1
t79,5905.577182717523,5833.345142150166,0.1
t80,6977.615953116166,6892.275640536585,0.1
t81,5905.577182717523,5833.345142150166,0.1
t82,5905.57375339255,5833.345142150166,0.1
t83,0.10198489006280308,0.1,0.1
t84,0.10198489006280308,0.1007375553778858,0.1
t85,0.10198489006280308,0.1007375553778858,0.1
t86,0.10198489006280308,0.1,0.1
t87,0.10198489006280308,0.1,0.1
t88,5905.57375339255,5833.345142150166,0.1
t89,6977.615953116166,6892.275640536585,0.1
t90,6977.615953116166,6892.275640536585,0.1
t91,6977.615953116166,6892.275640536585,0.1
t92,6977.615953116166,6892.275640536585,0.1
t93,6977.615953116166,6892.275640536585,0.1
t94,6977.615953116166,6892.275640536585,0.1
t95,6977.615953116166,6892.275640536585,-0.18857695476414985
t96,6977.615953116166,6892.275640536585,0.1
t97,6977.615953116166,6892.275640536585,0.1
t98,6977.615953116166,6892.275640536585,-0.43657153451237646
t99,6977.615953116166,6892.275640536585,0.1
t100,6977.615953116166,6892.275640536585,0.1
t101,6977.615953116166,6892.275640536585,-0.43657153451237646
t102,6977.615953116166,6892.275640536585,0.1
t103,6977.615953116166,6892.275640536585,0.1
t104,27840.505620833843,27500.000000000062,0.1
t105,6977.615953116166,6892.275640536585,-0.43657153451237646
t106,6977.615953116166,6892.275640536585,0.1
t107,5905.577182717523,5833.3485295324945,-0.18857695476414985
t108,5905.577182717523,5833.3485295324945,-0.18857695476414985
